餐廳名稱,地址,店長國籍,行政區,經度,緯度,縣市
郁婷越南小館,台北市中正區永昌里中華路二段393號,越南,中正區,121.508012,25.0261922,台北
母女的店,羅斯福路3段286巷4弄10號,泰國,中正區,121.531974,25.01589,台北
亞玖商行 RM. MIRASA,北平西路16-1號,印尼,中正區,121.5159562,25.0474207,台北
妙管家飲食店,杭州南路1段111巷50號,越南,中正區,121.5269184,25.0436513,台北
泰國小館,汀州路3段219號,泰國,中正區,121.5337791,25.0141319,台北
韓天閣餐館,羅斯福路4段78巷1弄15號,韓國,中正區,121.5339172,25.0142836,台北
大龍街老牌油飯 重慶酸辣粉,台北市大同區大龍街98號,中國,大同區,121.5159095,25.0665782,台北
福星廣東粥,萬全街32巷8號,越南,大同區,121.5202438,25.0581916,台北
紅姊水餃,雙連街55號,越南,大同區,121.5189995,25.059335,台北
Lisa泰式美食,承德路二段215號1樓,泰國,大同區,121.5184892,25.0598845,台北
小楊素食,揚雅里重慶北路3段113巷大龍街口 (大龍街132號旁大樹下),中國大陸,大同區,121.516563,25.063085,台北
包公府私房麵店,雙連街43號,大陸,大同區,121.51908,25.0589667,台北
麗萍商店,延平北路2段255號之39,印尼,大同區,121.5113703,25.062398,台北
香菘河內烤肉粉專賣店,台北市萬華區華西街35號,越南,萬華區,121.4984512,25.0378714,台北
廣西柳州螺螄粉,台北市萬華區萬大路237巷8號,中國,萬華區,121.5009097,25.0262696,台北
家佳珍台越早午餐,台北市萬華區萬大路65號,越南,萬華區,121.5007623,25.0307889,台北
珍材越式小吃店,台北市萬華區昆明街15之2號,越南,萬華區,121.5058882,25.0464558,台北
香洋1972咖啡輕食屋,青年路36號,中國大陸,萬華區,120.2116145,22.9915548,台北
越窩越好,萬大路187巷1弄17號,越南,萬華區,121.5008651,25.028373,台北
美婆婆,西園路1段258之1號,越南,萬華區,121.2350485,24.9814333,台北
大鼎米粉湯,昆明街208號,越南,萬華區,121.5043064,25.0408055,台北
福州乾拌麵店,貴陽街2段19號,大陸,萬華區,121.5057761,25.0395817,台北
柳州螺螄粉,廣州街175號,中國大陸,萬華區,121.5010778,25.0367487,台北
紅樓肉羹,內江街15號,越南,萬華區,121.5066108,25.0416358,台北
黃順台越小吃店,萬大路65號1樓,越南,萬華區,121.5007623,25.0307889,台北
越南河粉店,東園街28巷51號,越南,萬華區,121.4946875,25.02627,台北
東石順蚵仔煎,西昌街104號,泰國,萬華區,121.5005722,25.0404206,台北
海天香餃店,和平西路3段168號,中國大陸,萬華區,121.4981179,25.0351608,台北
華越美食,台北市文山區指南路二段205號,越南,文山區,121.5786648,24.9870182,台北
西貢越南美食,興隆路3段36巷14弄2號,越南,文山區,121.5551592,24.9999515,台北
161牛肉麵,木柵路1段161號,中國大陸,文山區,121.5711331,24.99168,台北
泰國小普吉,木柵路3段102巷1號,泰國,文山區,121.5675777,24.9883796,台北
越南大食館,保儀路86號,越南,文山區,121.5683725,24.9870662,台北
阿玲越南小吃,台北市文山區木柵路一段322號,越南,文山區,121.557395,24.9884803,台北
暖暖越南料理,台北市南港區興華路6號,越南,南港區,121.6059937,25.0544887,台北
周金水越南素食館,成福路28號,越南,南港區,121.5861877,25.0451591,台北
阿青越南小吃店,南港區興南街47號,越南,南港區,121.6012632,25.0561024,台北
桂花香,舊莊街1段49號,中國福建,南港區,121.6240441,25.0370335,台北
江東小館,舊莊街1段145巷2弄1號,中國、廣東,南港區,121.6240441,25.0370335,台北
劉媽媽便當店,台北市南港區重陽路166巷八號（捷運南港站走路十五分鐘）,中國福建人,南港區,121.6012828,25.0567461,台北
越太太-阿水越南料理餐廳,忠孝東路7段594巷4號,越南,南港區,121.6148596,25.052854,台北
正宗泰國菜,南港路2段123號,泰國,南港區,121.5965468,25.054062,台北
